Private sector donor (company or foundation),Est USD value cash donation,Est USD value in-kind donation,One-sentence description for dataviz,Business Sector,Country of Registration,Recipient,Last updated
Novo Nordisk Foundation,3695117,0,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million.",Energy/utilities,Denmark,Danish Red Cross,3/24/2022
Novo Nordisk Foundation,1478047,0,"DKK 50 million donation from pharmaceutical-company linked foundation distributed as follows: Danish Red Cross DKK 25 million, UNHCR DKK 10 million, Danish Refugee Council DKK 10 million, UNICEF Denmark DKK 4 million and Human Rights Watch DKK 1 million.",Energy/utilities,Denmark,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Pacific Life Foundation,250000,0,"Company-sponsored foundation. To provide direct support to children and their families affected by the crisis in Ukraine and surrounding areas, the Pacific Life Foundation has announced a $250,000 donation to the United Nations Children’s Fund. USD 250000.",Financial services,United States,United Nations Children's Fund (UNICEF),3/24/2022
Pandora,1000000,0,Donation from the world's largest jewellery brand.,Consumer goods,Denmark,United Nations Children's Fund (UNICEF),3/24/2022
"Pepsico Foundation, Inc.",1000000,0,Company-sponsored foundation. PepsiCo Foundation donated $1 million to the World Food Program to benefit communities facing food insecurity in Ukraine and surrounding countries. USD 1000000.,Consumer goods,United States,World Food Programme (WFP),3/24/2022
"Phillips Auctioneers, LLC",7656000,0,"Corporate giving program. Phillips announced that it would donate the full net proceeds of its 20th-century and contemporary art evening auction in London to the Ukrainian Red Cross Society, which raised £5.8 million ($7.7 million) for the organization. GBP £5,800,000.",Consumer goods,United Kingdom,Ukrainian Red Cross Society,3/24/2022
Pokémon Company,200000,0,"Corporate giving program. Amid the Russian invasion of Ukraine, The Pokémon Company has donated $200,000 to GlobalGiving, which will assist in providing humanitarian relief to the families affected by the conflict. USD 200000.",Consumer goods,Japan,GlobalGiving,3/24/2022
"Popular, Inc.",50000,0,"Through the Red Cross of Puerto Rico, Banco Popular has donated $50,000 to support the people of Ukraine. ",Financial services,United States of America,American Red Cross in Puerto Rico,3/24/2022
Porsche AG,817500,0,"Corporate giving program. Porsche donated 750,000 euros to the UN Refugee Aid, a German association partnered with the UN Refugee Agency, for Ukrainian relief efforts. This is the same group for which Porsche's parent company Volkswagen Group also donated one million euros. EUR 750000.",Consumer goods,Germany,UNO-Flüchtlingshilfe,3/24/2022
Porsche AG,272500,0,"Corporate giving program. Porsche donated 250,000 euros to the Ferry Porsche Foundation, focusing on children and young adults, for Ukrainian relief efforts. EUR 250000.",Consumer goods,Germany,Ferry Porsche Foundation,3/24/2022
Pricewaterhouse Coopers Charitable Foundation,125000,0,"Public charity. PwC's U.S. firm will immediately be making a $125,000 donation to the Ukraine Crisis Fund through CARE to provide frontline humanitarian aid and support. USD 125000.",Financial services,United States,CARE International,3/24/2022
RBC,158000,0,"Company-sponsored foundation. RBC made a donation of $200,000 CAD to the Canadian Red Cross Ukraine Humanitarian Crisis Appeal to support immediate humanitarian efforts in Ukraine. CAD 200000.",Financial services,Canada,Canadian Red Cross,3/24/2022
Revolut,1500000,0,Corporate giving program. for the Red Cross to assist with those affected by the war in Ukraine. USD 1500000.,Financial services,Ukraine,Ukrainian Red Cross Society,3/24/2022
Riverview Community Bank,10000,0,"Corporate giving program. Vancouver-based Riverview Community Bank announced a $10,000 donation it made to the Ukrainian American Cultural Association of Oregon and Southwest Washington, an organization providing financial support and supplies for Ukraine. USD 10000.",Financial services,Canada,Ukrainian American Cultural Association of Oregon and Southwest Washington,3/24/2022
Russel Metals Inc. ,79000,0,"Corporate giving program. Russel Metals Inc. announced that it is donating $100,000 to the United Nations High Commission for Refugees Canada (UNHCR) UN Refugee Agency, to provide immediate support to the humanitarian efforts in Ukraine for those Ukrainians forced to flee their homes.  CAD 100000.",Materials,Canada,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
S&P Global Foundation,150000,0,"Company-sponsored foundation. S&P Global Foundation has pledged $150,000 grants to World Central Kitchen for Ukrainian relief. USD 150000.",Financial services,United States,World Central Kitchen,3/24/2022
S&P Global Foundation,150000,0,"Company-sponsored foundation. S&P Global Foundation has pledged $150,000 grants to UNHCR/The UN Refugee Agency for Ukrainian relief. USD 150000.",Financial services,United States,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Sainsbury's,2640000,0,"Corporate giving program. Sainsbury's donated £2m through its charity partner, Comic Relief, who will support the humanitarian effort urgently needed in Ukraine. GBP £2,000,000.",Consumer goods,United Kingdom,Comic Relief,3/24/2022
Santander Bank,1097995,0,,Financial services,Spain,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Shiseido Group,1101820,,,Consumer goods,Japan,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Sidney E. Frank Foundation,20000,0,Donation from the family foundation established by the US importer of Grey Goose vokda.,Consumer goods,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
Signet Love Inspires Foundation,1000000,0,Company-sponsored foundation. The Signet Love Inspires Foundation will donate $1 million to the Red Cross Ukraine humanitarian relief efforts. BMD 1000000.,Consumer goods,Bermuda,Ukrainian Red Cross Society,3/24/2022
Skoda,443240,0,"Corporate giving program. Skoda will donate around €400,000 ($443,240) to the charity People in Need. The Czech firm, which has around 600 employees in the country and produces vehicles in Solomonovo, will also support any workers from Ukraine by assisting with visa applications, accommodation, language courses, employment and education. EUR 400000.",Consumer goods,Czechia,People in Need,3/24/2022
Slurp Laboratories,10000,0,"Corporate giving program. Slurp Laboratories, a global skincare dispensary based in Seoul, Korea, made a $10,000 donation to the Ukraine Humanitarian Fund on GoFundMe.org. USD 10000.",Consumer goods,South Korea,Ukraine Humanitarian Fund (UHF),3/24/2022
Sologenic Development Foundation,10000,0,"Company-sponsored foundation. On behalf of the SOLO and CORE community, Sologenic contributed $10,000 USD to the UNHCR fund to provide aid and vital assistance for the displaced civilians of Ukraine. USD 10000.",Financial services,United States of America,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
"Southeastern Grocers, Inc.",250000,0,"Corporate giving program. Southeastern Grocers Inc. (SEG), parent company and home of Fresco y Más, Harveys Supermarket and Winn-Dixie grocery stores, together with the SEG Gives Foundation, announced a donation of $250,000 to the International Committee of the Red Cross to support Ukraine and its citizens as they fight to defend their country. SEG will also donate 100% of the proceeds from its private label Ukrainian vodka to the cause for the next 31 days as a nod to Ukraine’s official declaration of independence nearly 31 years ago. USD 250000.",Consumer goods,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/24/2022
Square Enix,500000,0,"Corporate giving program. Square Enix donated US$500,000 to United Nations High Commissioner for Refugees (UNHCR) to support Ukrainian humanitarian relief efforts. USD 500000.",Consumer goods,Japan,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Sun Life Financial Inc.,158000,0,"Corporate giving program. Sun Life announced that it is donating $200,000 CAD to the Canadian Red Cross, to support humanitarian relief efforts in Ukraine. CAD 200000.",Financial services,Canada,Canadian Red Cross,3/24/2022
Supercell Oy,1000000,0,Finnish mobile game developer providing immediate 1m Euro donation to UNHCR + match program for additional donations.,Consumer goods,Finland,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
T J Morris Ltd. DBA Home Bargains,132000,0,"Corporate giving program. Home Bargains has donated £100,000 to the Disasters Emergency Committee Ukrainian Humanitarian Appeal. GBP £100,000.",Consumer goods,United Kingdom,Disasters Emergency Committee (DEC),3/24/2022
Taiwan Sporting Goods Manufacturers Association (TSMA),20000,0,Donation from nonprofit association representing Taiwanese sporting goods companies.,Consumer goods,,Ukraine Humanitarian Fund (UHF),3/24/2022
Telus,79000,0,"Corporate giving program. Launching an employee donation matching program - to date, TELUS team members have donated $100,000 CAD to the Canadian Red Cross, matched by TELUS, for a total of $200,000. CAD 100000.",Communication services,Canada,Canadian Red Cross,3/24/2022
TELUS Friendly Future Foundation,118500,0,"Company-sponsored foundation. The TELUS Friendly Future Foundation made a $150,000 CAD donation to the Canadian Red Cross for Ukrainian relief. CAD 150000.",Communication services,Canada,Canadian Red Cross,3/24/2022
Tesco PLC,1320000,0,"Corporate giving program. Tesco is donating £1m to the British Red Cross for relief efforts in Ukraine and working with them to find ways for customers and colleagues to help financially donate too.  GBP £1,000,000.",Consumer goods,United Kingdom,British Red Cross,3/24/2022
Texas Instruments Foundation ,25000,0,"Has made a grant of $25,000 to American Red Cross for humanitarian relief in Ukraine and will double donations by U.S.-based TI employees through its matching gifts program. ",Industrial/manufacturing,United States of America,American Red Cross ,3/24/2022
"Tinicum Enterprises, Inc.",40000,0,Donation from private investment firm,Financial services,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
Toyota Motor Corporation ,551120,,,Consumer goods,Japan,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Tripadvisor Foundation,250000,0,"Company-sponsored foundation. The Tripadvisor Foundation is supporting World Central Kitchen in its Ukraine relief efforts and has matched the initial $250,000 in donations. USD 250000.",Consumer goods,United States of America,World Central Kitchen,3/24/2022
Uber Technologies,1000000,0,"Corporate giving program. Uber is actively working with various organizations to establish and support relief efforts in Ukraine, and announced that the company is launching an in-app button for users to donate to the International Rescue Committee and will match donations made up to $1 million.  USD 1000000.",Consumer goods,United States of America,International Rescue Committee (IRC),3/24/2022
Ukrainian Credit Union ,79000,0,"Corporate giving program. The Ukrainian Credit Union in Toronto donated $100,000 CAD to The Canada-Ukraine Foundation. CAD 100000.",Financial services,Canada,The Canada-Ukraine Foundation,3/24/2022
Unilever,0,5488575,,Consumer goods,United States of America,Multiple recipients,3/24/2022
United Health Foundation,500000,0,"Company-sponsored foundation. The United Health Foundation, the philanthropic foundation of UnitedHealth Group (NYSE: UNH), announced a $500,000 donation to Save the Children, the U.S. affiliate of Save the Children International, to support its Ukraine Crisis Relief Fund to provide children and families with immediate aid such as food, water, hygiene kits and psychosocial support. USD 500000.",Health care,United States of America,Save the Children,3/24/2022
United Health Foundation,500000,0,"Company-sponsored foundation. The United Health Foundation, the philanthropic foundation of UnitedHealth Group (NYSE: UNH), announced a $500,0000 donation to Direct Relief to provide emergency medical supplies including critical care medicines, oxygen concentrators, antibiotics and other medical equipment to the Ukrainian Ministry of Health. USD 500000.",Health care,United States of America,Direct Relief,3/24/2022
Vantage Towers,13746.88,0,"Donations from Vodafone-linked companies and employees.€25,000 to UNHCR, €12,500 to Interchurched Aid in Hungary, and €12,500 to the Romanian Red Cross.",Communication services,Germany,Red Cross Society of Romania,3/24/2022
Vantage Towers,27493.75,0,"Donations from Vodafone-linked companies and employees.€25,000 to UNHCR, €12,500 to Interchurched Aid in Hungary, and €12,500 to the Romanian Red Cross.",Communication services,Germany,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Vantage Towers,13746.88,0,"Donations from Vodafone-linked companies and employees.€25,000 to UNHCR, €12,500 to Interchurched Aid in Hungary, and €12,500 to the Romanian Red Cross.",Communication services,Germany,Interchurched Aid,3/24/2022
Verizon Communications Inc. ,250000,0,"Corporate giving program. Verizon is supporting organizations working on the ground in Ukraine and surrounding areas supporting crisis relief efforts. International Medical Corps, with an on the ground presence in Ukraine and surrounding region, will receive $250,000, and is providing emergency medical and mental health care to refugees, internally displaced people and at-risk communities in Ukraine and its neighbors. USD 250000.",Communication services,United States of America,International Medical Corps (IMC),3/24/2022
Verizon Communications Inc. ,250000,0,"Corporate giving program. Verizon is supporting organizations working on the ground in Ukraine and surrounding areas supporting crisis relief efforts. Save the Children’s Ukraine Crisis Relief Fund will receive $250,000, and is supporting children and families with immediate aid, such as food, water, hygiene kits, psychosocial support and cash assistance. Save the Children has been operating in Ukraine since 2014, delivering essential humanitarian aid to children and their families. USD 250000.",Communication services,United States of America,Save the Children,3/24/2022
Verizon Communications Inc. ,250000,0,"Corporate giving program. Verizon is supporting organizations working on the ground in Ukraine and surrounding areas supporting crisis relief efforts. UNHCR, the UN Refugee Agency, will receive $250,000, and is on the ground in Ukraine scaling its response to provide assistance and ensure the more than two million refugees that have been forced to flee Ukraine find safety. USD 250000.",Communication services,United States of America,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
VF Foundation,250000,0,"Company-sponsored foundation. To provide assistance to the growing wave of refugees fleeing Ukraine, The VF Foundation has donated $250,000 to the UNHCR, the UN’s Refugee Agency dedicated to saving lives, protecting rights and building a better future for refugees, forcibly displaced communities and stateless people.   USD 250000.",Consumer goods,United States of America,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Visa Foundation,2000000,0,Company-sponsored foundation. Visa Foundation will provide a $2 million grant to the US Fund for UNICEF to support humanitarian aid to the people of Ukraine.  USD 2000000.,Financial services,United States of America,United Nations Children's Fund (UNICEF) USA,3/24/2022
Vodafone CZ,85780.5,0,"Donations from Vodafone-linked companies and employees, €78,000 to support the NGO People in Need",Communication services,Czechia,People in Need,3/24/2022
Vodafone Germany ,219932,0,"Donations from Vodafone-linked companies and employees. erman NGO ‘Aktion Deutschland Hilft’, a coordinating agency that funnels directly into German as well as local NGOs active in Ukraine.  €200k collected so far.",Communication services,Germany,Aktion Deutschland Hilft,3/24/2022
Vodafone Group Foundation,549875,0,Donations from Vodafone-linked companies and employees. €500k to UNHCR.,Communication services,United Kingdom,United Nations High Commissioner for Refugees (UNHCR),3/24/2022
Vodafone Hungary,54988,0,Donations from Vodafone-linked companies and employees. €100k has been donated through the line up to March 1st. Vodafone Hungary will split half of the amount it received from Group Foundation between 2 charity organisations: Hungarian Charity Service of the Order of Malta and Hungarian Interchurch Aid.,Communication services,Hungary,Order of Malta,3/24/2022
Vodafone Hungary,54988,0,Donations from Vodafone-linked companies and employees. €100k has been donated through the line up to March 1st. Vodafone Hungary will split half of the amount it received from Group Foundation between 2 charity organisations: Hungarian Charity Service of the Order of Malta and Hungarian Interchurch Aid.,Communication services,Hungary,Hungarian Interchurch Aid,3/24/2022
Vodafone Italy Foundation,109976,0,"Donations from Vodafone-linked companies and employees. donated €200K, split between Croce Rossa Italiana for necessities in Ukraine including water, blankets, and medicines, and Maria Francesca Rava Foundation to support paediatric hospitals in Ukraine.",Communication services,Italy,Maria Francesca Rava Foundation,3/24/2022
Vodafone Italy Foundation,109976,0,"Donations from Vodafone-linked companies and employees. donated €200K, split between Croce Rossa Italiana for necessities in Ukraine including water, blankets, and medicines, and Maria Francesca Rava Foundation to support paediatric hospitals in Ukraine.",Communication services,Italy,Red Cross Society of Italy,3/24/2022
Vodafone Luxembourg Foundation,6817,0,"Donations from Vodafone-linked companies and employees. Luxembourg employees are donating to Red Cross Luxembourg, with funds matched by Vodafone Luxembourg Foundation (€6,200 raised to date including match).",Communication services,Luxembourg,Red Cross Society of Luxembourg,3/24/2022
Vodafone Romania,16496.25,0,"Donations from Vodafone-linked companies and employees.€15,000 to Asociatia Medici pentru Romania (Doctors for Romania Association)",Communication services,Romania,Doctors for Romania Association,3/24/2022
Vodafone Romania,32992.5,0,"Donations from Vodafone-linked companies and employees.€30,000 allocated to Funaria Mereu Aproape to build a refugee camp for 240 refugees (woman and children) in Radauti, near the border",Communication services,Romania,Funaria Mereu Aproape,3/24/2022
Vodafone Romania,10997.5,0,"Donations from Vodafone-linked companies and employees. €10,000 to Jesuit Refugee Service to cover unmet and urgent needs for accommodation, transport, food and hygiene products",Communication services,Romania,Jesuit Refugee Service,3/24/2022
Vodafone Romania,43990,0,"Donations from Vodafone-linked companies and employees. €40,000 towards Association for Community Relations ‘Hope for Ukraine Fund’ for long and medium-term help for children.",Communication services,Romania,Association for Community Relations,3/24/2022
Vodafone Spain Foundation,27491.5,0,Donations from Vodafone-linked companies and employees. Vodafone Spain Foundation donated €25K to Save the Children,Communication services,Spain,Save the Children,3/24/2022
Vodafone UK,329700,0,Donations from Vodafone-linked companies and employees £250K donation to the British Red Cross (BRC) ,Communication services,United Kingdom,Red Cross Society of Romania,3/24/2022
Volkswagen AG ,1090000,0,"Corporate giving program. The Volkswagen Group will donate €1m (£833,690) to refugee charity UNO-Flüchtlingshilfe as a result of the Russian invasion of Ukraine.  EUR 1000000.",Consumer goods,Germany,UNO-Flüchtlingshilfe,3/24/2022
Wabtec Foundation,50000,0,Corporate giving program. Wabtec Foundation has pledged to donate funds to the International Rescue Committee and the World Central Kitchen. The donation will be split evenly between the two groups. USD 50000.,Industrial/manufacturing,United States of America,International Rescue Committee (IRC),3/24/2022
Wabtec Foundation,50000,0,Corporate giving program. Wabtec Foundation has pledged to donate funds to the International Rescue Committee and the World Central Kitchen. The donation will be split evenly between the two groups. USD 50000.,Industrial/manufacturing,United States of America,World Central Kitchen,3/24/2022
WELL Health,79000,0,"Corporate giving program. WELL Health Technologies Corp announced that in response to the humanitarian emergency in Ukraine, it has established a combined goal of donating $100,000 to UNICEF Canada, from a committed $50,000 corporate donation and a donation matching program between WELL team members and WELL's CEO. CAD 100000.",Health care,Canada,United Nations Children's Fund (UNICEF) Canada,3/24/2022
White & Case,1000000,0,,Legal,United States of America,Ukrainian Red Cross Society,3/24/2022
William Demant Foundation,1050000,0,"Company-sponsored foundation. The William Demant Foundation allocated DKK 7 million ($1 million USD) to the United Nations Children’s Fund (UNICEF) which is scaling up emergency response across Ukraine and the wider region.  DKK 7,000,000 kr.",Health care,Denmark,United Nations Children's Fund (UNICEF),3/24/2022
World Federation of the Sporting Goods Industry,53293.54,0,"50,000 CHF donation from the non-profit organization representing the sporting goods industry.",Consumer goods,Switzerland,Ukraine Humanitarian Fund (UHF),3/24/2022
WP Engine,15000,0,Donation from US-based web hosting platform.,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),3/24/2022
XTX Markets,13187200,0,"Donation from algorthmic trading company pf £10mn to support the UN Refugee Agency, via the UK for UNHCR Ukraine Emergency appeal.",Financial services,United Kingdom,United Nations High Commisioner for Refugees (UNHCR) United Kingdom,3/24/2022
Yum! Brands Foundation,1000000,0,,Consumer goods,United States of America,International Committee of the Red Cross and Red Crescent Societies (ICRC),3/24/2022
Takeda Pharmaceuticals International AG,2600000,0,Donation of 300 million Japanese yen.,Health care,Japan,International Federation of the Red Cross and Red Crescent Societies (IFRC),44644
Teva Pharmaceutical Industries Ltd. ,0,10800000,Donation of 27 million doses of medicines in over 1.3 million packs valued at $10.8 million (whoslesale acquistion cost) for acute therapies in humanitarian support of Ukrainian refugees.,Health care,Israel,Direct Relief,44644
Teva Pharmaceutical Industries Ltd. ,0,180000,"25,000 packs of antibiotics valued at $180,000 to a leading Israeli non-profit emergency and relief organization as aid in refugee camps on the border of Ukraine.",Health care,Israel,United Hatzalah,44644
Teva Pharmaceutical Industries Ltd. ,0,180000,"82,000 packs of medicine for Ukrainian infants and children.",Health care,Israel,People in Need,44644
H. Lundbeck A/S,1500000,0,10 million DKK donation,Health care,Denmark,Danish Red Cross,44644
"Daiichi Sankyo Company, Limited",1000000,0,¥115 million yen,Health care,Japan,United Nations Children's Fund (UNICEF),44644
