"Table P2.  Primary Energy Production Estimates in Trillion Btu, 2019 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,Fossil Fuels,,,,,,Nuclear Electric Power,,Renewable Energy,,,,,,Total   ,
,Coal a,,Natural Gas b,,Crude Oil c,,,,Biofuels d,,Wood and Waste e,,Other f,,,
,Trillion Btu,,,,,,,,,,,,,,,
Alabama,350.5,,138.4,,27.7,,455.9,,1.5,,171.3,,105.3,,"1,250.6",
Alaska,14.9,,365.3,,968.4,,0.0,,0.0,,6.8,,16.0,,"1,371.3",
Arizona,82.2,,0.1,,(s),,333.3,,3.0,,11.4,,133.8,,563.8,
Arkansas,0.0,,534.5,,26.3,,141.8,,8.6,,85.0,,39.9,,836.0,
California,0.0,,220.8,,920.1,,168.8,,31.4,,139.3,,968.9,,"2,449.4",
Colorado,270.5,,"2,385.5",,"1,081.0",,0.0,,18.4,,18.0,,130.3,,"3,903.7",
Connecticut,0.0,,0.0,,0.0,,174.7,,2.4,,23.3,,11.5,,211.9,
Delaware,0.0,,0.0,,0.0,,0.0,,0.0,,1.5,,2.1,,3.6,
District of Columbia,0.0,,0.0,,0.0,,0.0,,0.0,,1.1,,0.9,,2.0,
Florida,0.0,,1.2,,9.7,,303.9,,0.9,,166.9,,80.3,,563.0,
Georgia,0.0,,0.0,,0.0,,350.8,,16.7,,227.0,,57.9,,652.3,
Hawaii,0.0,,0.0,,0.0,,0.0,,0.5,,4.9,,19.9,,25.3,
Idaho,0.0,,1.1,,0.1,,0.0,,8.8,,37.7,,122.6,,170.3,
Illinois,"1,014.4",,2.3,,47.0,,"1,031.0",,214.9,,19.1,,135.4,,"2,464.1",
Indiana,712.2,,5.3,,9.0,,0.0,,152.2,,36.2,,66.4,,981.4,
Iowa,0.0,,0.0,,0.0,,54.7,,627.6,,20.3,,244.2,,946.8,
Kansas,0.0,,212.7,,189.1,,96.6,,75.1,,7.7,,189.7,,770.9,
Kentucky,853.0,,89.3,,14.3,,0.0,,10.6,,37.4,,41.2,,"1,045.8",
Louisiana,21.3,,"3,375.1",,261.7,,146.0,,0.0,,117.4,,16.3,,"3,937.7",
Maine,0.0,,0.0,,0.0,,0.0,,(s),,94.0,,54.3,,148.4,
Maryland,34.7,,(s),,0.0,,156.8,,0.0,,17.7,,37.8,,247.0,
Massachusetts,0.0,,0.0,,0.0,,22.7,,0.1,,33.1,,40.9,,96.9,
Michigan,0.0,,90.2,,29.0,,343.6,,47.2,,111.1,,74.5,,695.7,
Minnesota,0.0,,0.0,,0.0,,147.3,,177.8,,65.0,,120.4,,510.6,
Mississippi,28.4,,34.3,,96.2,,115.2,,5.8,,56.6,,4.0,,340.5,
Missouri,4.2,,(s),,0.5,,96.0,,62.6,,28.0,,49.1,,240.4,
Montana,608.9,,47.7,,130.9,,0.0,,(s),,18.1,,111.1,,916.6,
Nebraska,0.0,,0.4,,10.9,,72.6,,283.9,,5.5,,77.8,,451.1,
Nevada,0.0,,(s),,1.5,,0.0,,0.0,,4.1,,109.2,,114.9,
New Hampshire,0.0,,0.0,,0.0,,113.9,,0.3,,37.5,,18.1,,169.9,
New Jersey,0.0,,0.0,,0.0,,278.1,,0.0,,16.8,,32.6,,327.5,
New Mexico,268.3,,"2,087.5",,"1,877.4",,0.0,,0.0,,15.3,,78.7,,"4,327.3",
New York,0.0,,11.3,,1.6,,468.5,,19.7,,96.0,,336.1,,933.1,
North Carolina,0.0,,0.0,,0.0,,437.7,,0.2,,124.0,,129.8,,691.7,
North Dakota,361.9,,"1,188.3",,"2,956.5",,0.0,,79.2,,1.9,,129.2,,"4,717.0",
Ohio,192.4,,"2,903.8",,159.8,,177.6,,91.6,,52.6,,28.5,,"3,606.3",
Oklahoma,5.2,,"3,689.0",,"1,206.9",,0.0,,4.1,,34.4,,293.8,,"5,233.4",
Oregon,0.0,,0.4,,0.0,,0.0,,6.5,,78.9,,340.8,,426.7,
Pennsylvania,"1,250.9",,"7,296.2",,37.4,,869.1,,19.9,,113.4,,68.2,,"9,655.0",
Rhode Island,0.0,,0.0,,0.0,,0.0,,0.5,,4.2,,4.1,,8.8,
South Carolina,0.0,,0.0,,0.0,,585.8,,0.0,,112.1,,37.8,,735.7,
South Dakota,0.0,,0.5,,6.6,,0.0,,161.4,,3.3,,97.2,,269.0,
Tennessee,11.3,,2.9,,1.1,,373.0,,28.0,,58.1,,94.5,,569.0,
Texas,308.4,,"11,224.1",,"10,545.4",,431.2,,67.8,,86.4,,808.6,,"23,472.0",
Utah,326.0,,299.6,,209.1,,0.0,,0.0,,5.9,,42.3,,882.9,
Vermont,0.0,,0.0,,0.0,,0.0,,0.0,,22.9,,18.1,,41.0,
Virginia,320.3,,111.9,,(s),,308.0,,0.8,,116.4,,25.4,,882.8,
Washington,0.0,,0.0,,0.0,,92.6,,9.8,,118.4,,650.8,,871.6,
West Virginia,"2,422.2",,"2,598.7",,95.7,,0.0,,0.0,,12.0,,29.9,,"5,158.6",
Wisconsin,0.0,,0.0,,0.0,,104.7,,87.5,,101.1,,42.3,,335.7,
Wyoming,"4,828.5",,"1,653.9",,581.8,,0.0,,0.0,,5.0,,48.3,,"7,117.4",
,,,,,,,,,,,,,,,,
Federal Offshore - Gulf of Mexico,—,,"1,162.2",,"3,945.2",,—,,—,,—,,—,,"5,107.4",
Federal Offshore - Pacific,—,,(g),,25.4,,—,,—,,—,,—,,25.4,
,,,,,,,,,,,,,,,,
United States,"14,290.7",,"41,734.8",,"25,473.1",,"8,451.9",,"2,327.5",,"2,782.3",,"6,416.7",,"101,477.0",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a  Includes refuse recovery.,,,,,,,"f  Consumption of noncombustible renewable energy, including ",,,,,,,,,
b  Marketed production.,,,,,,,"hydroelectric power as well as geothernal, solar, and wind energy.",,,,,,,,,
c  Includes lease condensate.,,,,,,,g  Production of federal offshore natural gas along the Pacific,,,,,,,,,
d  Biomass inputs (feedstock) to the production of biofuels.,,,,,,,coast is included in California.,,,,,,,,,
e  Wood energy production and biomass waste energy consumption.,,,,,,,— = Not applicable.  (s) = Less than 0.05 trillion Btu.,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,,,
"Sources: Data sources, estimation procedures, and assumptions are described in the documentation at",,,,,,,,,,,,,,,,
http://www.eia.gov/state/seds/seds-technical-notes-complete.php,,,,,,,,,,,,,,,,
